Algoritmo,Verdaderos_Negativos_TN,Falsos_Positivos_FP,Falsos_Negativos_FN,Verdaderos_Positivos_TP,Precision_Manual,Recall_Manual,F1_Score_Manual_Basal,precision_macro,recall_macro,f1_macro,accuracy,roc_auc,mse,r2_score
Random Forest,2009,461,653,2057,0.8169181890389198,0.7590405904059041,0.7869166029074216,0.8169181890389198,0.7590405904059041,0.7869166029074216,0.784942084942085,0.8574048732390159,0.1535917815888389,0.3843112000381911
Regresión Logística,1941,529,565,2145,0.8021690351533284,0.7915129151291513,0.7968053491827637,0.8021690351533284,0.7915129151291513,0.7968053491827637,0.7888030888030888,0.8543055410311189,0.1547556786919176,0.3796455961675887
Árbol de Decisión Nativo,1958,512,704,2006,0.7966640190627482,0.7402214022140221,0.7674062739097169,0.7966640190627482,0.7402214022140221,0.7674062739097169,0.7652509652509653,0.8417271464212618,0.16134068063396528,0.353248923757741
